  BL.Depth     BL.VSH    BL.VSST   BL.PHI_e   BL.PHI_c  BL.PHI_U1 
  1116.101 	      0.410 	      0.370 	      0.220 	      0.110 	      0.110 	 
  1116.254 	      0.410 	      0.370 	      0.220 	      0.110 	      0.110 	 
  1116.406 	      0.410 	      0.370 	      0.220 	      0.110 	      0.110 	 
  1116.558 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1116.711 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1116.863 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1117.016 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1117.168 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1117.320 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1117.473 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1117.625 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1117.778 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1117.930 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1118.082 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1118.235 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1118.387 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1118.540 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1118.692 	      1.000 	      0.000 	      0.150 	      0.150 	      0.000 	 
  1118.844 	      0.190 	      0.570 	      0.240 	      0.060 	      0.190 	 
  1118.997 	      0.190 	      0.570 	      0.240 	      0.060 	      0.190 	 
  1119.149 	      0.190 	      0.570 	      0.240 	      0.060 	      0.190 	 
  1119.302 	      0.190 	      0.570 	      0.240 	      0.060 	      0.190 	 
  1119.454 	      0.190 	      0.570 	      0.240 	      0.060 	      0.190 	 
  1119.606 	      0.190 	      0.570 	      0.240 	      0.060 	      0.190 	 
  1119.759 	      0.000 	      0.740 	      0.260 	      0.000 	      0.260 	 
  1119.911 	      0.000 	      0.740 	      0.260 	      0.000 	      0.260 	 
  1120.064 	      0.000 	      0.740 	      0.260 	      0.000 	      0.260 	 
  1120.216 	      0.000 	      0.740 	      0.260 	      0.000 	      0.260 	 
